YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAXI_IN,TAXI_OUT,DISTANCE
2015,1,11,7,US,1753,7.0,26.0,328
2015,4,30,4,WN,836,5.0,8.0,605
2015,4,29,3,US,1951,5.0,16.0,544
2015,3,23,1,MQ,3417,8.0,15.0,113
2015,7,26,7,DL,1317,4.0,26.0,270
2015,12,12,6,DL,1135,8.0,16.0,1310
2015,3,12,4,DL,1110,8.0,14.0,404
2015,7,27,1,UA,842,4.0,12.0,657
2015,12,20,7,B6,1015,31.0,9.0,319
2015,4,1,3,DL,2331,5.0,41.0,502
2015,6,13,6,VX,251,6.0,19.0,2248
2015,3,2,1,DL,1863,4.0,27.0,302
2015,10,8,4,EV,4912,3.0,31.0,866
2015,3,26,4,F9,682,5.0,11.0,1546
2015,12,5,6,UA,233,8.0,14.0,2565
2015,8,2,7,UA,573,3.0,11.0,680
2015,2,8,7,DL,1616,6.0,14.0,1199
2015,8,19,3,MQ,3099,9.0,18.0,473
2015,9,4,5,DL,1097,7.0,29.0,2239
2015,11,6,5,WN,1417,12.0,14.0,967
2015,9,27,7,OO,6254,16.0,11.0,416
2015,4,21,2,DL,498,9.0,16.0,2422
2015,3,31,2,OO,2830,9.0,10.0,588
2015,1,15,4,AS,484,2.0,11.0,1050
2015,10,31,6,AS,463,3.0,15.0,954
2015,10,1,4,EV,4446,5.0,18.0,192
2015,5,28,4,AA,1471,6.0,17.0,1972
2015,8,27,4,OO,3454,4.0,12.0,817
2015,4,29,3,US,455,4.0,13.0,1037
2015,11,2,1,DL,2799,3.0,26.0,1182
2015,6,1,1,WN,196,6.0,7.0,588
2015,9,17,4,AA,1782,4.0,13.0,529
2015,8,18,2,EV,4427,11.0,11.0,177
2015,8,6,4,EV,4213,3.0,21.0,738
2015,8,26,3,EV,3269,4.0,35.0,192
2015,4,27,1,OO,5219,7.0,16.0,606
2015,8,18,2,MQ,3419,5.0,56.0,268
2015,4,12,7,EV,4384,19.0,13.0,667
2015,6,7,7,WN,438,6.0,6.0,255
2015,11,5,4,EV,5147,7.0,25.0,1107
2015,7,16,4,MQ,3444,4.0,18.0,483
2015,4,9,4,WN,4365,4.0,11.0,725
2015,11,26,4,EV,4887,3.0,10.0,448
2015,12,29,2,EV,4104,8.0,20.0,748
2015,5,24,7,WN,3715,8.0,9.0,545
2015,6,19,5,UA,261,4.0,15.0,2218
2015,10,17,6,EV,2740,3.0,14.0,270
2015,1,21,3,OO,6516,3.0,25.0,752
2015,1,8,4,EV,4364,4.0,19.0,1092
2015,1,20,2,NK,425,9.0,17.0,1182
2015,11,2,1,WN,2058,6.0,7.0,480
2015,2,10,2,WN,499,5.0,13.0,409
2015,1,21,3,WN,2675,5.0,17.0,296
2015,10,1,4,DL,1369,7.0,14.0,629
2015,12,3,4,AA,407,3.0,18.0,2075
2015,11,23,1,UA,265,7.0,11.0,846
2015,6,25,4,NK,619,7.0,19.0,1303
2015,4,21,2,WN,2570,4.0,17.0,1482
2015,2,12,4,B6,670,5.0,10.0,2569
2015,6,8,1,UA,533,7.0,11.0,406
2015,5,25,1,WN,1699,3.0,7.0,655
2015,2,20,5,US,2153,2.0,15.0,214
2015,5,6,3,DL,2118,12.0,13.0,404
2015,10,20,2,UA,1140,7.0,29.0,719
2015,10,30,5,DL,2206,4.0,11.0,516
2015,3,17,2,EV,5020,6.0,11.0,399
2015,3,8,7,UA,1536,6.0,14.0,846
2015,7,5,7,EV,5009,5.0,38.0,618
2015,6,11,4,MQ,3340,4.0,9.0,304
2015,12,21,1,UA,324,5.0,11.0,236
2015,7,17,5,UA,1003,6.0,9.0,1824
2015,4,30,4,AS,525,6.0,14.0,937
2015,8,26,3,WN,2819,3.0,13.0,368
2015,1,13,2,EV,4898,5.0,9.0,488
2015,7,31,5,UA,899,6.0,11.0,2065
2015,10,5,1,AA,1937,13.0,23.0,728
2015,5,8,5,OO,7402,6.0,7.0,306
2015,8,30,7,DL,709,4.0,8.0,980
2015,4,26,7,WN,207,8.0,15.0,370
2015,7,9,4,AA,697,4.0,14.0,2979
2015,1,26,1,WN,2228,11.0,9.0,1771
2015,3,28,6,US,743,4.0,16.0,2402
2015,1,24,6,DL,1286,10.0,21.0,762
2015,4,14,2,EV,4890,2.0,21.0,306
2015,2,8,7,NK,427,6.0,12.0,1306
2015,10,26,1,DL,1299,11.0,14.0,1096
2015,9,25,5,DL,1634,8.0,13.0,689
2015,5,28,4,WN,3056,7.0,12.0,804
2015,4,7,2,WN,1820,7.0,9.0,255
2015,2,6,5,EV,4369,7.0,16.0,1330
2015,6,6,6,DL,1587,4.0,15.0,1747
2015,8,17,1,WN,225,4.0,6.0,328
2015,1,2,5,B6,2,5.0,12.0,1069
2015,6,26,5,DL,1993,6.0,13.0,270
2015,3,21,6,AA,382,,,175
2015,9,22,2,OO,2892,4.0,21.0,308
2015,9,21,1,EV,4912,4.0,18.0,250
2015,2,20,5,UA,1481,5.0,11.0,200
2015,7,23,4,WN,2878,16.0,7.0,1670
2015,6,20,6,AA,1193,5.0,11.0,631
2015,12,18,5,OO,6502,6.0,34.0,372
2015,3,16,1,OO,6320,4.0,21.0,391
2015,6,4,4,OO,4633,19.0,21.0,308
2015,10,24,6,AA,1772,10.0,16.0,936
2015,4,24,5,DL,2488,3.0,18.0,980
2015,6,18,4,US,1820,7.0,43.0,541
2015,5,19,2,WN,4478,14.0,7.0,471
2015,11,27,5,UA,636,8.0,14.0,719
2015,2,13,5,EV,5264,6.0,14.0,331
2015,7,18,6,EV,4961,5.0,23.0,300
2015,5,14,4,AA,254,8.0,11.0,2486
2015,2,5,4,DL,1245,4.0,17.0,1013
2015,12,11,5,WN,913,6.0,18.0,432
2015,4,28,2,US,1991,3.0,10.0,920
2015,4,7,2,AA,114,19.0,17.0,1726
2015,10,7,3,WN,376,3.0,9.0,382
2015,3,24,2,EV,4935,4.0,12.0,954
2015,1,14,3,B6,1887,5.0,25.0,1091
2015,8,22,6,EV,5093,4.0,24.0,170
2015,11,25,3,OO,6302,5.0,13.0,110
2015,7,13,1,AA,1935,3.0,22.0,280
2015,6,2,2,AA,2458,5.0,25.0,1012
2015,8,27,4,AA,2302,18.0,15.0,852
2015,7,23,4,DL,2128,9.0,13.0,957
2015,5,17,7,UA,417,6.0,17.0,678
2015,9,8,2,AA,2136,5.0,17.0,184
2015,1,20,2,WN,1105,7.0,12.0,370
2015,10,18,7,WN,428,5.0,10.0,808
2015,6,16,2,DL,1928,4.0,14.0,2036
2015,9,11,5,DL,1325,4.0,11.0,1670
2015,3,5,4,DL,860,3.0,28.0,1522
2015,6,23,2,OO,6453,11.0,21.0,391
2015,10,5,1,WN,1968,8.0,27.0,308
2015,6,2,2,HA,145,5.0,6.0,100
2015,1,20,2,NK,631,3.0,22.0,983
2015,12,26,6,AA,1857,11.0,14.0,541
2015,11,14,6,B6,107,3.0,10.0,965
2015,5,1,5,DL,2178,3.0,14.0,1010
2015,10,10,6,OO,5321,3.0,31.0,363
2015,2,15,7,DL,1488,8.0,10.0,448
2015,7,30,4,WN,4531,3.0,8.0,894
2015,3,3,2,WN,578,6.0,11.0,937
2015,12,10,4,WN,632,4.0,23.0,967
2015,6,30,2,F9,1125,8.0,14.0,2065
2015,12,8,2,WN,1114,3.0,6.0,612
2015,7,13,1,DL,1653,6.0,11.0,630
2015,9,14,1,AA,25,6.0,9.0,1303
2015,8,8,6,AS,715,4.0,15.0,630
2015,4,7,2,MQ,3259,17.0,14.0,299
2015,4,19,7,WN,361,5.0,9.0,1986
2015,7,11,6,OO,6236,4.0,30.0,557
2015,6,16,2,EV,4679,9.0,21.0,657
2015,12,2,3,EV,4750,13.0,38.0,240
2015,12,30,3,AA,116,5.0,13.0,3711
2015,10,15,4,AA,1841,3.0,27.0,814
2015,5,30,6,OO,3456,3.0,24.0,817
2015,4,4,6,OO,4514,4.0,16.0,601
2015,10,10,6,AA,707,39.0,17.0,2075
2015,8,14,5,WN,756,5.0,10.0,775
2015,2,16,1,AA,1538,7.0,13.0,1437
2015,1,23,5,WN,3323,24.0,14.0,337
2015,3,24,2,DL,854,6.0,13.0,2079
2015,9,15,2,EV,4281,5.0,21.0,667
2015,6,30,2,WN,4733,5.0,15.0,994
2015,11,21,6,WN,3332,2.0,15.0,639
2015,2,23,1,F9,902,9.0,14.0,701
2015,8,19,3,F9,573,4.0,11.0,391
2015,10,17,6,UA,1205,29.0,11.0,2504
2015,11,30,1,AA,669,4.0,12.0,255
2015,8,20,4,EV,4900,10.0,16.0,128
2015,10,11,7,UA,250,4.0,11.0,689
2015,5,5,2,DL,2334,6.0,17.0,1276
2015,8,19,3,WN,3125,5.0,7.0,317
2015,4,27,1,US,754,4.0,33.0,2402
2015,6,23,2,OO,4464,6.0,25.0,1404
2015,4,10,5,AA,1437,28.0,9.0,1126
2015,3,2,1,DL,1385,6.0,15.0,503
2015,4,3,5,UA,1184,3.0,20.0,550
2015,6,26,5,MQ,3461,7.0,22.0,113
2015,6,28,7,EV,5192,6.0,13.0,633
2015,5,28,4,DL,729,29.0,10.0,2248
2015,8,27,4,WN,2013,4.0,15.0,991
2015,12,23,3,DL,936,3.0,22.0,152
2015,2,11,3,EV,5276,6.0,35.0,106
2015,5,12,2,OO,5162,4.0,24.0,1428
2015,7,4,6,WN,505,9.0,7.0,1047
2015,6,4,4,WN,4906,15.0,14.0,1050
2015,10,7,3,WN,966,5.0,10.0,842
2015,12,26,6,AA,243,9.0,17.0,1251
2015,1,26,1,OO,7416,6.0,19.0,190
2015,9,16,3,UA,729,5.0,11.0,495
2015,12,24,4,EV,5969,12.0,9.0,223
2015,1,29,4,US,471,7.0,12.0,1276
2015,1,11,7,OO,5617,5.0,13.0,191
2015,6,14,7,UA,1763,6.0,9.0,413
2015,9,9,3,MQ,3052,28.0,12.0,227
2015,5,28,4,HA,45,13.0,10.0,2355
2015,6,8,1,AA,193,4.0,12.0,1846
2015,6,28,7,WN,3828,5.0,9.0,895
2015,11,16,1,WN,2828,3.0,10.0,770
2015,5,25,1,DL,2622,7.0,11.0,296
2015,7,28,2,DL,2253,5.0,17.0,1399
2015,9,3,4,EV,5307,3.0,19.0,399
2015,9,18,5,MQ,3348,3.0,20.0,315
2015,12,3,4,DL,2041,4.0,15.0,341
2015,3,27,5,AA,1562,7.0,15.0,1158
2015,12,25,5,DL,719,6.0,8.0,440
2015,10,24,6,DL,890,8.0,10.0,153
2015,9,1,2,AS,851,11.0,15.0,2677
2015,9,13,7,NK,185,15.0,8.0,2052
2015,9,17,4,AS,805,5.0,13.0,2404
2015,1,17,6,US,659,5.0,16.0,2176
2015,10,9,5,EV,4742,12.0,9.0,179
2015,11,11,3,WN,204,5.0,10.0,533
2015,3,31,2,WN,185,5.0,9.0,397
2015,5,14,4,US,650,4.0,21.0,2402
2015,7,30,4,WN,1360,5.0,12.0,1011
2015,7,25,6,NK,847,7.0,15.0,862
2015,3,12,4,OO,4842,5.0,16.0,546
2015,3,8,7,HA,228,4.0,10.0,163
2015,4,16,4,WN,1549,4.0,12.0,793
2015,2,26,4,AA,1278,16.0,49.0,986
2015,9,25,5,AA,2170,7.0,12.0,399
2015,2,2,1,MQ,3168,,,659
2015,2,12,4,B6,1233,8.0,13.0,1189
2015,7,29,3,AS,334,5.0,18.0,697
2015,1,19,1,AS,533,8.0,7.0,987
2015,6,18,4,WN,412,4.0,15.0,925
2015,7,2,4,EV,5593,4.0,16.0,302
2015,9,10,4,DL,2057,4.0,20.0,1096
2015,8,17,1,AA,1742,22.0,13.0,2125
2015,3,23,1,AA,316,15.0,15.0,641
2015,3,21,6,UA,260,2.0,21.0,787
2015,9,22,2,EV,5269,3.0,17.0,831
2015,6,11,4,DL,2195,4.0,8.0,252
2015,10,4,7,DL,2503,8.0,18.0,1310
2015,5,6,3,AA,251,8.0,24.0,1192
2015,3,5,4,AA,92,10.0,16.0,1723
2015,12,18,5,AA,1857,4.0,49.0,544
2015,11,9,1,EV,4431,10.0,8.0,708
2015,8,3,1,AA,463,7.0,11.0,1107
2015,8,26,3,DL,1517,8.0,26.0,1199
2015,2,26,4,WN,495,7.0,47.0,591
2015,1,15,4,WN,1011,6.0,10.0,628
2015,12,7,1,B6,602,7.0,13.0,2300
2015,8,9,7,DL,1467,10.0,21.0,448
2015,1,8,4,AS,222,6.0,23.0,679
2015,4,23,4,WN,2437,4.0,16.0,651
2015,12,18,5,DL,2345,3.0,15.0,1027
2015,7,16,4,UA,215,10.0,19.0,334
2015,10,21,3,AA,1307,20.0,14.0,1744
2015,1,19,1,DL,1441,8.0,12.0,640
2015,4,24,5,MQ,2993,7.0,15.0,501
2015,9,13,7,WN,32,3.0,7.0,496
2015,10,12,1,WN,614,3.0,7.0,843
2015,4,28,2,DL,1258,5.0,16.0,270
2015,2,19,4,UA,529,5.0,13.0,372
2015,4,3,5,DL,997,4.0,15.0,270
2015,6,14,7,AA,176,7.0,27.0,1192
2015,4,6,1,WN,784,6.0,15.0,197
2015,2,16,1,B6,161,4.0,30.0,2521
2015,1,3,6,AA,320,12.0,15.0,1372
2015,12,22,2,WN,206,8.0,8.0,842
2015,10,9,5,WN,1674,9.0,18.0,651
2015,10,10,6,DL,177,13.0,12.0,731
2015,3,10,2,AA,1208,32.0,19.0,1345
2015,1,13,2,OO,5528,6.0,10.0,192
2015,3,29,7,WN,146,5.0,10.0,496
2015,9,10,4,EV,2616,3.0,11.0,134
2015,6,16,2,WN,346,5.0,26.0,258
2015,3,25,3,EV,6057,10.0,13.0,409
2015,11,19,4,AA,2324,9.0,13.0,1158
2015,11,5,4,B6,133,13.0,27.0,2704
2015,8,10,1,AA,2061,6.0,17.0,912
2015,6,12,5,EV,5974,,,552
2015,6,10,3,B6,176,4.0,19.0,1666
2015,6,22,1,US,622,6.0,21.0,1107
2015,10,25,7,MQ,3449,4.0,11.0,409
2015,1,3,6,EV,4147,5.0,9.0,1042
2015,10,14,3,DL,2385,2.0,10.0,926
2015,9,4,5,EV,4973,6.0,58.0,241
2015,4,12,7,OO,5444,3.0,14.0,363
2015,3,23,1,DL,1570,7.0,14.0,484
2015,2,21,6,EV,4494,14.0,17.0,517
2015,6,18,4,DL,745,5.0,26.0,2079
2015,11,30,1,WN,47,6.0,12.0,239
2015,9,22,2,UA,625,7.0,13.0,794
2015,9,2,3,AA,2276,7.0,22.0,761
2015,5,22,5,AA,2410,2.0,12.0,1235
2015,3,10,2,UA,1241,7.0,13.0,413
2015,7,10,5,DL,472,11.0,39.0,2475
2015,10,24,6,UA,1716,4.0,13.0,305
2015,5,27,3,DL,1644,7.0,11.0,1069
2015,10,31,6,WN,4215,6.0,11.0,391
2015,9,18,5,WN,2032,4.0,25.0,590
2015,4,12,7,DL,1447,9.0,18.0,762
2015,8,31,1,B6,390,7.0,17.0,399
2015,4,26,7,MQ,3664,5.0,12.0,642
2015,7,13,1,AA,1191,6.0,9.0,631
2015,9,19,6,UA,812,14.0,13.0,978
2015,3,6,5,OO,2769,11.0,9.0,110
2015,8,9,7,MQ,3603,7.0,16.0,661
2015,9,15,2,EV,5892,5.0,22.0,419
2015,7,26,7,UA,507,5.0,10.0,200
2015,11,15,7,WN,31,5.0,8.0,917
2015,3,3,2,OO,5435,3.0,32.0,620
2015,4,21,2,DL,1421,4.0,16.0,192
2015,10,15,4,WN,2203,4.0,8.0,391
2015,6,3,3,EV,5024,4.0,11.0,143
2015,4,26,7,NK,245,6.0,13.0,1514
2015,3,2,1,WN,2154,8.0,14.0,258
2015,7,14,2,AA,1270,12.0,16.0,1145
2015,6,27,6,AA,2389,5.0,14.0,1205
2015,8,8,6,DL,1151,6.0,17.0,2398
2015,1,29,4,AA,2207,6.0,18.0,2174
2015,9,13,7,WN,3206,4.0,13.0,197
2015,4,10,5,EV,4554,3.0,8.0,771
2015,1,22,4,AA,267,3.0,12.0,2556
2015,9,27,7,OO,4448,5.0,30.0,296
2015,12,3,4,WN,3132,2.0,9.0,452
2015,7,18,6,AA,804,7.0,33.0,1520
2015,2,21,6,EV,5780,5.0,18.0,374
2015,8,3,1,WN,3387,4.0,14.0,345
2015,5,5,2,WN,2053,6.0,10.0,1444
2015,6,16,2,US,2083,5.0,13.0,1262
2015,3,12,4,DL,2423,6.0,14.0,500
2015,7,9,4,WN,559,6.0,16.0,1014
2015,9,5,6,AS,673,6.0,14.0,1024
2015,9,24,4,DL,1061,7.0,18.0,2218
2015,4,24,5,AS,858,4.0,11.0,2676
2015,2,19,4,B6,1307,4.0,29.0,228
2015,1,8,4,WN,3917,6.0,15.0,646
2015,4,11,6,HA,41,9.0,11.0,2338
2015,10,29,4,MQ,3185,13.0,14.0,196
2015,12,30,3,HA,45,5.0,14.0,2355
2015,2,27,5,AA,1080,14.0,10.0,1007
2015,4,15,3,UA,1547,7.0,34.0,925
2015,3,23,1,OO,3455,4.0,13.0,817
2015,3,4,3,OO,4813,6.0,9.0,626
2015,1,11,7,UA,1745,5.0,9.0,2419
2015,5,14,4,B6,100,12.0,19.0,2343
2015,1,29,4,OO,2593,11.0,27.0,726
2015,6,2,2,US,2138,5.0,16.0,399
2015,10,14,3,B6,417,4.0,14.0,187
2015,3,6,5,OO,6320,3.0,13.0,391
2015,6,18,4,WN,1791,5.0,9.0,775
2015,12,27,7,AA,345,19.0,14.0,733
2015,7,11,6,OO,6386,5.0,17.0,216
2015,8,1,6,B6,1059,4.0,15.0,280
2015,4,21,2,EV,2509,3.0,43.0,383
2015,3,4,3,AA,1693,5.0,15.0,1005
2015,10,27,2,VX,885,7.0,8.0,1246
2015,11,8,7,HA,216,8.0,19.0,100
2015,2,4,3,WN,134,36.0,9.0,423
2015,4,24,5,WN,239,5.0,12.0,986
2015,5,18,1,OO,4558,3.0,25.0,491
2015,12,6,7,UA,310,6.0,12.0,1744
2015,3,25,3,AA,1018,6.0,15.0,1972
2015,1,9,5,OO,5326,3.0,16.0,190
2015,4,8,3,UA,539,5.0,15.0,966
2015,1,26,1,WN,766,5.0,6.0,251
2015,10,7,3,DL,1748,6.0,12.0,201
2015,9,27,7,UA,489,15.0,15.0,602
2015,11,4,3,AA,378,12.0,12.0,447
2015,9,22,2,DL,986,6.0,14.0,762
2015,2,28,6,AA,89,11.0,14.0,964
2015,2,11,3,AA,2230,7.0,15.0,852
2015,3,16,1,DL,2489,5.0,12.0,453
2015,6,20,6,AS,176,6.0,21.0,909
2015,8,18,2,DL,2521,8.0,22.0,2586
2015,1,8,4,WN,1209,6.0,12.0,591
2015,12,28,1,EV,4584,6.0,16.0,528
2015,10,1,4,WN,513,14.0,26.0,369
2015,11,24,2,UA,1984,22.0,14.0,1379
2015,8,8,6,WN,4350,4.0,7.0,759
2015,12,13,7,F9,333,13.0,12.0,680
2015,10,11,7,OO,5623,14.0,10.0,258
2015,11,13,5,AA,1927,4.0,36.0,2288
2015,9,7,1,MQ,3046,3.0,16.0,116
2015,4,21,2,WN,637,4.0,10.0,372
2015,1,3,6,WN,996,5.0,8.0,879
2015,5,7,4,MQ,3483,4.0,33.0,642
2015,4,10,5,WN,158,9.0,8.0,590
2015,5,28,4,OO,2755,6.0,13.0,119
2015,2,24,2,AA,378,9.0,16.0,1045
2015,12,30,3,OO,4767,8.0,15.0,1024
2015,1,11,7,WN,4101,4.0,14.0,655
2015,11,26,4,F9,1041,7.0,11.0,879
2015,2,10,2,EV,4517,13.0,13.0,645
2015,2,7,6,B6,100,4.0,12.0,2342
2015,2,8,7,OO,4808,5.0,16.0,1107
2015,10,5,1,OO,4816,6.0,11.0,393
2015,6,11,4,DL,545,4.0,8.0,332
2015,4,6,1,UA,1695,8.0,14.0,2402
2015,1,10,6,DL,1351,11.0,16.0,746
2015,6,8,1,EV,5099,2.0,23.0,170
2015,9,22,2,WN,388,3.0,12.0,417
2015,6,18,4,OO,4506,6.0,25.0,411
2015,2,20,5,WN,4465,5.0,11.0,351
2015,11,16,1,EV,6057,8.0,20.0,409
2015,3,26,4,OO,6492,7.0,8.0,251
2015,10,1,4,OO,6467,13.0,13.0,192
2015,9,30,3,OO,4857,8.0,14.0,337
2015,8,4,2,DL,1858,7.0,27.0,813
2015,10,25,7,WN,4115,3.0,12.0,528
2015,5,30,6,WN,1596,6.0,8.0,687
2015,3,24,2,DL,2680,9.0,23.0,184
2015,1,20,2,OO,6260,4.0,17.0,447
2015,12,15,2,WN,241,6.0,15.0,308
2015,6,25,4,AS,343,9.0,11.0,672
2015,9,29,2,WN,2317,5.0,8.0,271
2015,6,7,7,HA,342,5.0,8.0,216
2015,4,16,4,WN,325,4.0,14.0,971
2015,12,12,6,WN,3590,,15.0,382
2015,3,14,6,UA,712,6.0,18.0,594
2015,4,26,7,DL,2299,5.0,11.0,696
2015,6,18,4,US,1963,6.0,10.0,361
2015,11,29,7,WN,1878,5.0,11.0,1062
2015,4,8,3,WN,3217,5.0,9.0,507
2015,3,13,5,UA,939,6.0,14.0,1956
2015,8,20,4,AA,2314,10.0,12.0,1345
2015,4,2,4,WN,3942,4.0,15.0,333
2015,8,7,5,DL,1505,11.0,13.0,1589
2015,10,29,4,WN,750,6.0,9.0,439
2015,8,13,4,UA,1189,9.0,21.0,236
2015,1,4,7,DL,1789,5.0,16.0,270
2015,1,2,5,EV,4987,4.0,19.0,306
2015,9,26,6,NK,975,9.0,12.0,602
2015,10,2,5,UA,238,8.0,19.0,1635
2015,12,17,4,WN,987,3.0,9.0,189
2015,2,21,6,US,458,7.0,11.0,602
2015,3,29,7,WN,1166,4.0,10.0,460
2015,5,6,3,B6,2689,6.0,14.0,414
2015,1,16,5,UA,841,8.0,19.0,2475
2015,4,23,4,F9,1344,15.0,29.0,1737
2015,12,18,5,UA,302,14.0,11.0,802
2015,3,22,7,AA,2498,7.0,16.0,936
2015,11,19,4,EV,4102,6.0,9.0,771
2015,3,13,5,AA,193,5.0,14.0,187
2015,1,8,4,EV,5733,4.0,9.0,534
2015,1,31,6,DL,2507,7.0,21.0,106
2015,6,26,5,WN,4603,8.0,11.0,516
2015,11,18,3,UA,625,20.0,21.0,1041
2015,11,5,4,WN,298,6.0,13.0,460
2015,4,4,6,DL,1761,4.0,10.0,666
2015,6,7,7,WN,3668,5.0,10.0,306
2015,9,29,2,WN,16,3.0,18.0,594
2015,7,19,7,DL,2509,8.0,9.0,120
2015,7,12,7,AS,64,6.0,15.0,680
2015,1,24,6,AA,2309,7.0,11.0,802
2015,2,7,6,DL,1977,6.0,14.0,606
2015,6,10,3,EV,5583,,,106
2015,12,16,3,OO,6438,6.0,20.0,1428
2015,11,13,5,WN,1243,6.0,8.0,448
2015,6,19,5,NK,105,7.0,10.0,936
2015,3,11,3,DL,1130,4.0,16.0,332
2015,12,8,2,DL,1336,5.0,8.0,422
2015,3,4,3,OO,4514,4.0,9.0,601
2015,9,13,7,AA,2002,11.0,24.0,728
2015,5,10,7,AA,2348,,,631
2015,1,4,7,OO,5239,5.0,19.0,996
2015,10,25,7,DL,1785,8.0,30.0,547
2015,2,26,4,US,1959,2.0,16.0,814
2015,8,11,2,DL,2247,3.0,31.0,762
2015,7,14,2,DL,2813,3.0,15.0,252
2015,11,8,7,EV,4442,6.0,27.0,501
2015,3,4,3,OO,4984,4.0,27.0,451
2015,6,24,3,DL,2036,10.0,26.0,646
2015,6,10,3,EV,5672,7.0,7.0,127
2015,5,10,7,DL,2046,10.0,15.0,1587
2015,1,3,6,OO,5540,10.0,18.0,639
2015,5,5,2,F9,555,5.0,10.0,853
2015,6,30,2,OO,4669,3.0,16.0,308
2015,6,26,5,EV,5285,7.0,15.0,1214
2015,11,9,1,AA,662,6.0,29.0,2296
2015,11,19,4,DL,2407,4.0,18.0,1005
2015,8,29,6,OO,6537,5.0,16.0,1083
2015,9,29,2,AA,1196,2.0,21.0,1171
2015,11,17,2,EV,4368,8.0,23.0,116
2015,4,12,7,OO,5427,5.0,12.0,86
2015,7,18,6,NK,906,33.0,9.0,1628
2015,6,19,5,EV,3953,16.0,20.0,820
2015,2,9,1,DL,1533,8.0,11.0,1487
2015,5,17,7,MQ,3647,9.0,18.0,213
2015,4,2,4,B6,1435,3.0,9.0,354
2015,1,14,3,AA,1649,5.0,12.0,936
2015,12,17,4,B6,1279,7.0,12.0,899
2015,1,1,4,AA,2489,41.0,15.0,1235
2015,12,11,5,AA,1763,14.0,10.0,430
2015,6,11,4,NK,763,5.0,41.0,334
2015,6,7,7,DL,571,3.0,14.0,1599
2015,3,11,3,WN,776,6.0,7.0,882
2015,9,5,6,WN,5567,5.0,9.0,402
2015,10,27,2,WN,2493,7.0,8.0,770
2015,8,4,2,NK,714,3.0,7.0,473
2015,9,7,1,AA,1427,9.0,9.0,731
2015,5,22,5,EV,5047,10.0,18.0,346
2015,8,11,2,AA,2143,5.0,30.0,214
2015,1,16,5,B6,672,8.0,33.0,1076
2015,4,12,7,DL,1449,3.0,12.0,707
2015,2,27,5,EV,5173,23.0,12.0,461
2015,11,19,4,NK,108,9.0,13.0,1171
2015,3,9,1,DL,897,6.0,14.0,404
2015,10,5,1,WN,603,7.0,23.0,480
2015,6,21,7,AA,1178,39.0,19.0,731
2015,6,1,1,WN,793,11.0,12.0,682
2015,9,3,4,OO,6312,25.0,9.0,110
2015,4,3,5,OO,5267,6.0,24.0,936
2015,8,18,2,WN,2834,12.0,11.0,314
2015,4,21,2,EV,4625,12.0,62.0,209
2015,6,20,6,F9,718,4.0,9.0,1476
2015,3,12,4,WN,4658,5.0,11.0,446
2015,8,12,3,DL,2021,4.0,12.0,1671
2015,12,18,5,WN,2331,4.0,16.0,446
2015,3,6,5,WN,2242,8.0,7.0,611
2015,2,8,7,AA,1048,12.0,11.0,936
2015,9,11,5,F9,421,8.0,40.0,1199
2015,6,21,7,MQ,3681,6.0,14.0,175
2015,9,22,2,OO,5231,5.0,17.0,391
2015,2,25,3,WN,270,6.0,15.0,337
2015,10,10,6,UA,626,10.0,34.0,678
2015,3,15,7,F9,1014,7.0,20.0,920
2015,10,7,3,DL,2027,5.0,18.0,954
2015,9,1,2,AA,424,11.0,27.0,1440
2015,2,5,4,DL,2107,6.0,15.0,721
2015,7,24,5,OO,6354,9.0,12.0,196
2015,1,24,6,B6,2302,5.0,32.0,301
2015,10,10,6,MQ,3416,4.0,15.0,177
2015,9,6,7,B6,2007,16.0,11.0,994
2015,4,28,2,B6,1246,8.0,33.0,728
2015,1,17,6,DL,871,4.0,12.0,223
2015,11,29,7,AA,250,6.0,12.0,204
2015,6,21,7,WN,2254,5.0,8.0,446
2015,1,9,5,US,507,6.0,15.0,338
2015,8,28,5,AA,1069,8.0,15.0,986
2015,9,13,7,B6,1169,11.0,14.0,667
2015,7,3,5,WN,1105,4.0,12.0,345
2015,4,3,5,EV,4147,13.0,8.0,794
2015,3,27,5,MQ,3420,5.0,14.0,783
2015,6,28,7,UA,1620,21.0,15.0,447
2015,11,14,6,WN,876,5.0,15.0,883
2015,7,26,7,DL,1890,10.0,11.0,731
2015,11,13,5,UA,1647,12.0,14.0,2565
2015,4,16,4,AA,2485,16.0,20.0,1235
2015,4,9,4,OO,2870,4.0,20.0,209
2015,6,2,2,DL,1622,8.0,29.0,632
2015,7,8,3,UA,1155,9.0,7.0,1726
2015,9,26,6,AA,1413,16.0,11.0,1096
2015,1,22,4,UA,391,10.0,13.0,2486
2015,12,27,7,OO,5594,9.0,11.0,916
2015,12,3,4,MQ,3282,9.0,12.0,296
2015,7,22,3,DL,1847,6.0,9.0,563
2015,6,24,3,OO,3468,4.0,12.0,1368
2015,3,6,5,UA,1719,10.0,11.0,2218
2015,12,26,6,B6,1212,4.0,36.0,787
2015,11,27,5,WN,4437,8.0,8.0,874
2015,6,29,1,US,858,7.0,11.0,328
2015,1,27,2,DL,921,2.0,10.0,297
2015,5,26,2,WN,168,5.0,12.0,1521
